name,description
Mathematics,"Mathematics is the study of numbers, quantity, space, and change."
Physics,"Physics is the natural science that studies matter, its motion and behavior through space and time, and the related entities of energy and force."
Chemistry,"Chemistry is the scientific discipline involved with elements and compounds composed of atoms, molecules and ions: their composition, structure, properties, behavior and the changes they undergo during a reaction with other substances."
Biology,"Biology is the natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, physiological mechanisms, development, and evolution."
English,"English is a West Germanic language that was first spoken in early medieval England and eventually became a global lingua franca."
History,"History is the study of the past. It is a broad field that includes the study of human society, culture, and civilizations."
Geography,"Geography is the study of places and the relationships between people and their environments. It explores the physical properties of Earth's surface and the human societies spread across it."
Computer Science,"Computer science is the study of algorithmic processes, computational machines and computation itself. It deals with theory, design, development, and application of software systems."
Software Engineering,"Software engineering is the application of engineering principles to software development. It involves designing, developing, testing, and maintaining software systems."
Information Technology,"Information technology is the use of computers to store, retrieve, transmit, and manipulate data or information. It includes the study of computer networks, databases, and software applications."
Cybersecurity,"Cybersecurity is the practice of protecting systems, networks, and programs from digital attacks. It includes measures to prevent unauthorized access, data breaches, and identity theft."
Artificial Intelligence,"Artificial intelligence is the simulation of human intelligence processes by machines, especially computer systems. It involves creating intelligent agents that can perform tasks that typically require human intelligence."
Python,"Python is an interpreted, high-level, general-purpose programming language known for its simplicity and readability. It is widely used in web development, data science, artificial intelligence, and more."
Java,"Java is a general-purpose, object-oriented programming language developed by Sun Microsystems. It is known for its portability, platform independence, and robustness, and is widely used for building enterprise-level applications, Android apps, and web services."
C++,"C++ is a general-purpose programming language created as an extension of the C programming language. It is known for its efficiency, performance, and flexibility, and is widely used in systems programming, game development, and high-performance computing."
JavaScript,"JavaScript is a high-level, interpreted programming language known for its role as the scripting language of the web. It is used to add interactivity and dynamic behavior to websites, and is also commonly used for server-side development with Node.js."
